Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
"TTS,Tatts Group Limited,Consumer Discretionary,""6,505,540,000"",0.39,,,"
"TWE,Treasury Wine Estates Limited,Consumer Staples,""9,027,390,000"",0.54,,,"
"VCX,Vicinity Centres Stapled,Real Estate,""11,203,000,000"",0.67,,,"
"VOC,Vocus Group Limited,Telecommunication Services,""2,679,920,000"",0.16,,,"
"VRT,Virtus Health Limited,Health Care,""464,577,000"",0.03,,,"
"VVR,Viva Energy Reit Stapled,Real Estate,""1,642,560,000"",0.1,,,"
"WBC,Westpac Banking Corporation,Financials,""117,683,000,000"",7.06,,,"
"WEB,Webjet Limited,Consumer Discretionary,""1,123,930,000"",0.07,,,"
"WES,Wesfarmers Limited,Consumer Staples,""50,971,400,000"",3.06,,,"
"WFD,Westfield Corporation Stapled,Real Estate,""18,453,400,000"",1.11,,,"
"WHC,Whitehaven Coal Limited,Energy,""3,067,880,000"",0.18,,,"
"WOR,Worleyparsons Limited,Energy,""2,719,150,000"",0.16,,,"
"WOW,Woolworths Limited,Consumer Staples,""34,136,300,000"",2.05,,,"
"WPL,Woodside Petroleum Limited,Energy,""27,025,600,000"",1.62,,,"
"WSA,Western Areas Limited,Materials,""628,959,000"",0.04,,,"
